tertile,retriever_family,condition_a,condition_b,metric,alternative,paired_queries,mean_delta_b_minus_a,wilcoxon_statistic,wilcoxon_p_value,wilcoxon_bonferroni_p_value,bonferroni_family_size,cliffs_delta,bootstrap_ci_low,bootstrap_ci_high
high,bge_m3,bge_m3__keep,bge_m3__sentinel,ndcg@10,two-sided,360,-0.0011100571299012965,8053.0,0.8954420558405336,1.0,10,-0.0015277777777777779,-0.0065519541375632035,0.004228413210552844
high,bge_m3,bge_m3__naive_strip,bge_m3__rule_resolved,ndcg@10,two-sided,360,-0.003040018444974324,9074.5,0.19252547857741253,1.0,10,-0.010285493827160494,-0.009773820612940723,0.003825486141380692
high,bge_m3,bge_m3__naive_strip,bge_m3__sastrawi_clitic,ndcg@10,two-sided,360,-0.0016849425173102116,2035.5,0.5654638964489931,1.0,10,-0.007955246913580247,-0.005595602760371478,0.0019578399695650895
high,bge_m3,bge_m3__naive_strip,bge_m3__sentinel,ndcg@10,two-sided,360,-0.0014341088934205592,7913.5,0.6482614448942974,1.0,10,-0.005069444444444444,-0.007551199333437082,0.004731468898970968
high,bge_m3,bge_m3__rule_resolved,bge_m3__sastrawi_clitic,ndcg@10,two-sided,360,0.0013550759276641127,8065.0,0.2256089871468817,1.0,10,0.0024537037037037036,-0.005027781952439198,0.007517245042873264
high,bge_m3,bge_m3__rule_resolved,bge_m3__sentinel,ndcg@10,greater,360,0.0016059095515537642,9778.5,0.7535001730874629,1.0,10,0.004722222222222222,-0.0044331208765878765,0.007561823145050684
high,bge_m3,bge_m3__sastrawi_clitic,bge_m3__sentinel,ndcg@10,two-sided,360,0.00025083362388965197,8470.5,0.9564567451023208,1.0,10,0.0027160493827160493,-0.005999958206585696,0.006481821397246765
high,bm25,bm25__keep,bm25__naive_strip,ndcg@10,less,360,0.001620309820497887,347.5,0.09673085184397429,0.9673085184397429,10,0.0031018518518518517,-0.00024144722325408508,0.0036919573172869147
high,bm25,bm25__keep,bm25__rule_resolved,ndcg@10,two-sided,360,0.00441961471359969,8255.0,0.19063844349584025,1.0,10,0.007199074074074074,-0.003955717614550028,0.012751238691870207
high,bm25,bm25__keep,bm25__sastrawi_clitic,ndcg@10,two-sided,360,0.0003647878753289354,48.5,0.8016843787266217,1.0,10,0.0004861111111111111,-0.001061208647916061,0.0019807228304396106
high,bm25,bm25__keep,bm25__sentinel,ndcg@10,two-sided,360,-0.002956907819594487,3580.0,0.192495529326556,1.0,10,-0.006489197530864198,-0.007154634009963868,0.0010879626750899445
high,bm25,bm25__naive_strip,bm25__rule_resolved,ndcg@10,two-sided,360,0.0027993048931018037,8178.0,0.48152127454263716,1.0,10,0.004290123456790124,-0.0053165798365459845,0.010841363496890404
high,bm25,bm25__naive_strip,bm25__sastrawi_clitic,ndcg@10,two-sided,360,-0.0012555219451689517,233.0,0.11616366593075039,1.0,10,-0.002600308641975309,-0.0027115703822448017,0.00014823720229785453
high,bm25,bm25__naive_strip,bm25__sentinel,ndcg@10,two-sided,360,-0.004577217640092374,3167.0,0.05763446784760744,0.5763446784760744,10,-0.009375,-0.008446936571273544,-0.0010496736690534885
high,bm25,bm25__rule_resolved,bm25__sastrawi_clitic,ndcg@10,greater,360,-0.004054826838270756,9783.0,0.11416532434103377,1.0,10,-0.006635802469135803,-0.012125102255225811,0.004137091140478941
high,bm25,bm25__rule_resolved,bm25__sentinel,ndcg@10,two-sided,360,-0.007376522533194176,8678.5,0.05862899912811312,0.5862899912811312,10,-0.013973765432098766,-0.015704990703739458,0.001070726365623278
high,bm25,bm25__sastrawi_clitic,bm25__sentinel,ndcg@10,two-sided,360,-0.003321695694923422,3397.0,0.18293937249696468,1.0,10,-0.006921296296296296,-0.00718310812458277,0.0002831998575318338
